fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,1340,2758,763443036.3,2824
2005,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,2,7,709989.97,7
2007,42039.73265,Less than $250 thousand,Zero value,Zero value,30723,62464,1713338406,63689
2011,42039.73265,$100 - <$500 million,$25 - <$100 million,Deobligation,1,14,101439893.3,14
2006,42039.73265,$25 - <$100 million,Zero value,Zero value,897,10984,40577411142,11800
2012,42039.73265,Zero value,$250 thousand - <$1 million,$5 - <$25 million,1,1,0,1
2013,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,3248,8106,179667652,8120
2009,42039.73265,Zero value,$1 - <$5 million,Zero value,16,26,0,27
2014,42039.73265,$25 - <$100 million,$5 - <$25 million,$1 - <$5 million,2,91,76720191,109
2013,42039.73265,$100 - <$500 million,$100 - <$500 million,Deobligation,5,65,1050214622,65
2014,42039.73265,Less than $250 thousand,$25 - <$100 million,$1 - <$5 million,1,2,67307.571,2
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,Deobligation,2,13,356716.53,13
2002,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,1,6,7598275,6
2008,42039.73265,Zero value,Zero value,$100 - <$500 million,1,1,0,1
2003,42039.73265,Zero value,NULL,$5 - <$25 million,250,251,0,NULL
2002,42039.73265,$5 - <$25 million,Zero value,$5 - <$25 million,4,45,45708187,48
2010,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,3,20,4470914.36,20
2010,42039.73265,$100 - <$500 million,Zero value,Zero value,47,1843,9559580740,1886
2001,42039.73265,Zero value,NULL,$5 - <$25 million,12,14,0,NULL
2009,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,17710,42916,37628830800,86047
2013,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,1,4,-1410912.35,4
2002,42039.73265,$250 thousand - <$1 million,Zero value,$1 - <$5 million,1,2,426466,3
2008,42039.73265,$5 - <$25 million,Deobligation,$100 - <$500 million,1,9,14026910.64,14
2006,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,153,189,8577208.83,189
2011,42039.73265,Zero value,NULL,$100 - <$500 million,467,1110,0,NULL
2009,42039.73265,$1 - <$5 million,Zero value,Deobligation,1,6,1556382.4,6
2014,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,81,240,13201466.91,240
2005,42039.73265,Zero value,Less than $250 thousand,Zero value,5,11,0,11
2011,42039.73265,Greater than $500 million,$25 - <$100 million,$5 - <$25 million,1,194,3305188663,194
2009,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,8,14,687575.48,17
2003,42039.73265,$5 - <$25 million,Zero value,$25 - <$100 million,1,8,8139662,9
2009,42039.73265,$100 - <$500 million,$25 - <$100 million,Deobligation,1,20,114862895,20
2005,42039.73265,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,3,3,237965.19,3
2013,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,1,10,12963351,10
2010,42039.73265,$1 - <$5 million,Deobligation,Deobligation,171,957,352344442.7,999
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,$1 - <$5 million,5,89,83077648.39,108
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,3,47,171440770,51
1991,42039.73265,$25 - <$100 million,NULL,NULL,613,14456,28285185900,NULL
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,11818,16289,475128896.1,16318
2011,42039.73265,$25 - <$100 million,$5 - <$25 million,Less than $250 thousand,1,26,65269165.55,572
2002,42039.73265,Zero value,Zero value,$25 - <$100 million,157,168,0,158
2005,42039.73265,Zero value,Deobligation,Zero value,1,1,0,1
2004,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,3,4,309119,4
2010,42039.73265,Zero value,$25 - <$100 million,$25 - <$100 million,8,12,0,15
2001,42039.73265,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,1,5,394000000,5
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,5,38,158744305.9,38
2014,42039.73265,$100 - <$500 million,$25 - <$100 million,Zero value,1,12,154003493,12
2011,42039.73265,Less than $250 thousand,Zero value,Deobligation,14,39,578833.46,39
2014,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Zero value,1,4,340064.1499,4
2011,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,155,1314,1385769057,1401
2012,42039.73265,Zero value,NULL,Less than $250 thousand,4268,6603,0,NULL
2012,42039.73265,$100 - <$500 million,$25 - <$100 million,$100 - <$500 million,1,32,269836442.5,64
2014,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,159,1222,1646615124,1373
2005,42039.73265,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,1,7,9279087.22,7
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,109,637,1748887422,707
2014,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,659,1969,413439171.7,2107
2007,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,1,6,298801,6
2003,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,2,47,61529370,48
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,141,564,1599619444,597
2012,42039.73265,Less than $250 thousand,Deobligation,Deobligation,883,2431,61382969.27,2456
2011,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,834589,982254,23500002968,1171891
2006,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,41,113,3282957.36,113
2007,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,169,624,82987578.36,624
2011,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,8,13,0,14
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,10,14,999308.13,14
2006,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,1,2,17880,2
2006,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,366,2047,181576510.6,2065
2012,42039.73265,Deobligation,Deobligation,Less than $250 thousand,23,56,-526113.22,58
2006,42039.73265,$1 - <$5 million,Less than $250 thousand,$1 - <$5 million,4,34,9119222.53,34
2007,42039.73265,$25 - <$100 million,Deobligation,Deobligation,5,40,242702243.9,40
2010,42039.73265,$100 - <$500 million,Greater than $500 million,$100 - <$500 million,1,26,403706235,26
2012,42039.73265,$25 - <$100 million,$5 - <$25 million,$250 thousand - <$1 million,1,16,26548895.24,16
2005,42039.73265,$5 - <$25 million,Zero value,$25 - <$100 million,1,1,13279193,2
2012,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,2,12,6989727.08,12
2013,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,44,65,0,67
2007,42039.73265,$250 thousand - <$1 million,NULL,Zero value,1,1,667000,NULL
2008,42039.73265,Less than $250 thousand,Zero value,$1 - <$5 million,2,8,90864.8,8
2010,42039.73265,$5 - <$25 million,Less than $250 thousand,Zero value,1,4,16860661.71,4
2012,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1548,3381,747324877.1,3411
2012,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,2,5,704609.78,5
2014,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,4,19,10049735.15,19
2006,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,4,130,228202419,130
2002,42039.73265,Zero value,Zero value,$100 - <$500 million,42,42,0,42
2004,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,1,3,-20554,3
2008,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,6,12,508366.92,12
2010,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,8,38,10848374.19,38
2014,42039.73265,Greater than $500 million,$100 - <$500 million,$25 - <$100 million,1,17,1396058575,18
1999,42039.73265,Less than $250 thousand,NULL,NULL,67093,79010,5120550779,79464
2008,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,4,43,63332120.23,47
2006,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,7,2494884,7
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,Zero value,92,898,318529450.8,1111
2008,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,28,95,-21050563.58,96
2013,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$1 - <$5 million,2,36,22781999.55,36
2008,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,2,15,813013.65,15
2009,42039.73265,Less than $250 thousand,Greater than $500 million,Greater than $500 million,2,3,186048,3
2013,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,8,10,609975.7809,12
2014,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,139,349,-46770741.36,359
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,340,1307,713526128,1326
2005,42039.73265,Less than $250 thousand,NULL,Deobligation,1,2,83491,NULL
2002,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,1,11,25583667.04,11
2008,42039.73265,Deobligation,Deobligation,$250 thousand - <$1 million,2,5,-1192751.02,5
2003,42039.73265,Zero value,Zero value,$100 - <$500 million,103,103,0,103
2004,42039.73265,$25 - <$100 million,$25 - <$100 million,Zero value,2,8,69140587,9
2008,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,11,78,648643199.2,107
2010,42039.73265,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,209,4172,42587589667,6040
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,2,2,5375219,2
2009,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Deobligation,3,27,25951890.51,27
2006,42039.73265,Less than $250 thousand,Zero value,Less than $250 thousand,85,132,6077823.8,134
2010,42039.73265,Zero value,Less than $250 thousand,Deobligation,15,35,0,35
2006,42039.73265,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,38,118,463197873.8,122
2009,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,17,81,12485618.07,81
2008,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,482,1775,241136401.5,1787
2006,42039.73265,$5 - <$25 million,$100 - <$500 million,Greater than $500 million,5,57,64170930,70
2003,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,1,1,2809665,1
2011,42039.73265,$25 - <$100 million,$100 - <$500 million,$5 - <$25 million,2,85,154326808.5,85
2008,42039.73265,Less than $250 thousand,$1 - <$5 million,$250 thousand - <$1 million,3,6,259442.41,6
2008,42039.73265,Less than $250 thousand,$100 - <$500 million,Greater than $500 million,1,1,1623.99,1
2012,42039.73265,$100 - <$500 million,$5 - <$25 million,$5 - <$25 million,5,105,1062094357,110
2014,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,35,52,0,52
2006,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,30,57,-7652833.24,57
2009,42039.73265,Less than $250 thousand,$5 - <$25 million,Zero value,1,3,57823,3
1996,42039.73265,$250 thousand - <$1 million,NULL,NULL,17349,45996,8638756745,46637
2011,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,47,1349,57442397983,1402
2010,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,1,5,957000,5
2004,42039.73265,Zero value,Less than $250 thousand,Zero value,3,6,0,6
2013,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,10,51,151581692.9,74
2005,42039.73265,Less than $250 thousand,NULL,$250 thousand - <$1 million,1,2,233244.2,NULL
2010,42039.73265,$1 - <$5 million,Zero value,$5 - <$25 million,3,33,7775264,33
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,24,153,255212424.7,189
1995,42039.73265,Greater than $500 million,NULL,NULL,11,283,14008393462,2719
2011,42039.73265,$1 - <$5 million,$25 - <$100 million,$5 - <$25 million,1,10,4293760.68,10
2014,42039.73265,Deobligation,Deobligation,$250 thousand - <$1 million,4,20,-3356448.378,20
2001,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,3,32,28038394,34
2010,42039.73265,$25 - <$100 million,$100 - <$500 million,Deobligation,1,8,97635823.37,8
2005,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,5,5,11346696.09,5
2009,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,21,207,285073230.9,285
2012,42039.73265,$1 - <$5 million,Less than $250 thousand,Deobligation,3,33,4440211.19,33
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,2,20,94474602,39
2007,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,10,27498549,10
2006,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,2,5,1425000,8
2010,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,8,47,5589123.09,47
2012,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,14,39,801285.88,39
2012,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,1,6,437104.92,6
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,144,1368,1348044268,1381
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,31,217,307467595,217
2002,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,1,1,0,1
2006,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$25 - <$100 million,1,8,2124789,8
2000,42039.73265,Deobligation,Zero value,Zero value,7400,9558,-2228278764,9625
2006,42039.73265,Less than $250 thousand,Deobligation,Deobligation,41,106,2241565.86,106
2012,42039.73265,$1 - <$5 million,Zero value,Less than $250 thousand,1,1,1076029.1,1
2012,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,71,165,4196701.65,165
2011,42039.73265,Zero value,NULL,Greater than $500 million,547,1811,0,NULL
2006,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,183,270,10711482.04,275
2011,42039.73265,Deobligation,$1 - <$5 million,Deobligation,3,13,-195345.85,13
2008,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,5,16,2885163,22
2008,42039.73265,Zero value,Deobligation,Less than $250 thousand,2,5,0,5
2010,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,966,2002,137556058.1,2121
2006,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,4,15,3523990.98,15
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,1111,4501,2350815697,4794
2009,42039.73265,Less than $250 thousand,Less than $250 thousand,$5 - <$25 million,30,53,2837400.75,53
2013,42039.73265,Deobligation,$1 - <$5 million,Deobligation,4,11,-169975.9519,11
2014,42039.73265,Greater than $500 million,Greater than $500 million,Deobligation,2,124,3865874540,124
2012,42039.73265,$100 - <$500 million,Deobligation,Deobligation,4,71,720164137.3,71
2012,42039.73265,Less than $250 thousand,Zero value,$1 - <$5 million,1,2,74377,2
2014,42039.73265,Greater than $500 million,Deobligation,Greater than $500 million,1,4,709570515,4
2008,42039.73265,$1 - <$5 million,$5 - <$25 million,Zero value,28,206,88594629.17,210
2009,42039.73265,$5 - <$25 million,$5 - <$25 million,Greater than $500 million,1,2,15564726.5,2
2008,42039.73265,Deobligation,Deobligation,Less than $250 thousand,23,52,-3605605.02,53
2003,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,1,9468,2
2004,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,6,13,2240297,13
2002,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,5,6,465119.26,6
2007,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,1950,3313,233298377.1,3463
2005,42039.73265,$5 - <$25 million,Deobligation,Deobligation,1,12,20338426.94,12
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,Zero value,8,70,26625924.87,70
2013,42039.73265,$5 - <$25 million,$1 - <$5 million,Deobligation,9,67,54969566.38,87
2001,42039.73265,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,1,12,125666883,14
2006,42039.73265,Less than $250 thousand,Deobligation,$250 thousand - <$1 million,1,3,228127,3
2009,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$25 - <$100 million,3,8,1506946.62,12
2014,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,7,78,261147536.2,82
2006,42039.73265,Deobligation,Less than $250 thousand,$25 - <$100 million,1,1,-4944,1
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,133,1150,1239739338,1203
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,29,142,63025426.03,142
2014,42039.73265,Deobligation,Zero value,Deobligation,9,13,-1484175.327,13
2005,42039.73265,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,1,1652650,3
2011,42039.73265,Less than $250 thousand,Deobligation,Deobligation,925,2682,63582664.21,2691
2014,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$100 - <$500 million,1,1,250000,1
2012,42039.73265,$5 - <$25 million,$1 - <$5 million,$100 - <$500 million,1,9,9537810,11
2008,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Zero value,1,4,6499257,4
2009,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,5,15,348909.2,15
2007,42039.73265,Less than $250 thousand,Zero value,$1 - <$5 million,2,11,350539,11
2014,42039.73265,Deobligation,$5 - <$25 million,Deobligation,1,14,-6354413.735,14
2002,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,1,19080,2
2000,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,2,15531000,3
2013,42039.73265,$1 - <$5 million,Deobligation,Zero value,3,25,6359483,25
2009,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,373,1372,170822539.6,1381
2012,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,4559,20478,47178333806,6336923
2008,42039.73265,Zero value,Zero value,$25 - <$100 million,3,4,0,4
2014,42039.73265,Zero value,NULL,$1 - <$5 million,2809,4625,0,NULL
